"cuenta";"descripcion";"cuentaesp"
1;"FINANCIACION BASICA";
10;"CAPITAL";
100;"Capital social";
1000;"Capital Social cooperativo. Aportaciones obligatorias";
1001;"Capital Social cooperativo. Aportaciones voluntarias";
1002;"Capital Social cooperativo. Socios colaboradores y asociados o adheridos";
10020;"Socios colaboradores";
10021;"Asociados o adheridos";
101;"Fondo social";
102;"Capital";
103;"Socios por desembolsos no exigidos";
1030;"Socios por desembolsos no exigidos,capital social";
1034;"Socios por desembolsos no exigidos,capital pendiente de inscripción";
104;"Socios por aportaciones no dinerarias pendientes";
1040;"Socios por aportaciones no dinerarias pendientes, capital social";
1044;"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción";
107;"Fondo de participaciones y otros fondos subordinados con vencimiento en la liquidación";
1070;"Fondo de Participaciones y otros fondos subordinados con vencimiento en la liquidacion";
1071;"Otros fondos subordinados con vencimiento en la liquidacion";
108;"Acciones o participaciones propias en situaciones especiales";
109;"Acciones o participaciones propias para reducción de capital";
11;"RESERVAS Y OTROS INSTRUMENTOS DE PATRIMONIO";
110;"Prima de emisión o asunción";
111;"Otros instrumentos de patrimonio neto";
1110;"Patrimonio neto por emisión de instrumentos financieros compuestos";
1111;"Resto de instrumentos de patrimonio neto";
112;"Fondo de reserva obligatorio";
1121;"Fondo de reserva obligatorio por aplicación de excedentes";
1122;"Fondo de reserva obligatorio por cuotas de ingreso";
1123;"fondo de reserva obligatorio por deducciones";
113;"Reservas voluntarias";
1131;"Fondo de reserva voluntario irrepartible";
1132;"Fondo de reserva voluntario repartible";
114;"Reservas especiales";
1140;"Reservas para acciones o participaciones de la sociedad dominante";
1141;"Reservas estatutarias";
1142;"Reserva por capital amortizado";
1143;"Reserva por fondo de comercio";
1144;"Reservas por acciones propias aceptadas en garantía";
1145;"Fondo de reembolso o actualizacion";
11450;"Fondo por incorporacion de beneficios";
11451;"Fondo por revalorizacion de activos";
115;"Reservas por pérdidas y ganancias actuariales y otros ajustes";
118;"Aportaciones de socios o propietarios";
1181;"Aportaciones de socios por compensar pérdidas";
119;"Diferencias por ajuste del capital a euros";
12;"RESULTADOS PENDIENTES DE APLICACIÓN";
120;"Remanente";"PREVIO"
121;"Resultados negativos de ejercicios anteriores";"PRENEG"
129;"Excedente cooperativo";"PYG"
13;"SUBVENCIONES, DONACIONES Y AJUSTES POR CAMBIOS DE VALOR";
130;"Subvenciones oficiales de capital";
131;"Donaciones y legados de capital";
