codcuentaesp;descripcion
"ACREED";"Comptes de creditors"
"CAJA";"Comptes de caixa"
"CAMNEG";"Comptes de diferències negatives de canvi"
"CAMPOS";"Comptes de diferències positives de canvi"
"CLIENT";"Comptes de clients"
"COMPRA";"Comptes de compres"
"DEVCOM";"Devolucions de compres"
"DEVVEN";"Devolucions de vendes"
"DIVPOS";"Comptes per diferències positives en divisa estrangera"
"EURNEG";"Comptes per diferències negatives de conversió a la moneda local"
"EURPOS";"Comptes per diferències positives de conversió a la moneda local"
"GTORF";"Despeses per recàrrec financer"
"GTOBAN";"Despeses bancàries"
"INGRF";"Ingressos per recàrrec financer"
"IRPF";"Comptes de retencions IRPF"
"IRPFPR";"Comptes de retencions per a proveïdors IRPF"
"IVAACR";"Comptes creditores d'IVA en la regularització"
"IVADEU";"Comptes deutores d'IVA en la regularització"
"IVAEUE";"IVA en lliuraments intracomunitaris U.E."
"IVAREP";"Comptes d'IVA repercutit"
"IVARUE";"Comptes d'IVA repercutit UE"
"IVARXP";"Comptes d'IVA repercutit en exportacions"
"IVAREX";"Comptes d'IVA repercutit per a clients exempts d'IVA"
"IVASOP";"Comptes d'IVA suportat"
"IVASUE";"Comptes d'IVA suportat UE"
"IVASIM";"Comptes d'IVA suportat en importacions"
"PRENEG";"Comptes per diferències negatives en exercici previ"
"PREVIO";"Comptes per diferències positives en exercici previ"
"PROVEE";"Comptes de proveïdors"
"PYG";"Pèrdues i guanys"
"SUPLI";"Suplerts"
"VENTAS";"Comptes de vendes"
