"cuenta";"descripcion";"cuentaesp"
1;"FINANÇAMENT BÀSIC";
10;"CAPITAL";
100;"Capital social";
1000;"Capital Social cooperatiu. aportacions obligatòries";
1001;"Capital Social cooperatiu. aportacions voluntàries";
1002;"Capital Social cooperatiu. Socis col·laboradors i associats o adherits";
10020;"Socis col·laboradors";
10021;"Associats o adherits";
101;"Fons social";
102;"Capital";
103;"Socis per desemborsaments no exigits";
1030;"Socis per desemborsaments no exigits, capital social";
1034;"Socis per desemborsaments no exigits, capital pendent d'inscripció";
104;"Socis per aportacions no dineràries pendents";
1040;"Socis per aportacions no dineràries pendents, capital social";
1044;"Socis per aportacions no dineràries pendents, capital pendent d'inscripció";
107;"Fons de participacions i altres fons subordinats amb venciment en la liquidació";
1070;"Fons de participacions amb venciment en la liquidació";
1071;"Altres fons subordinats amb venciments a la liquidació";
108;"Accions o participacions pròpies en situacions especials";
109;"Accions o participacions pròpies per reducció de capital";
11;"RESERVES I ALTRES INSTRUMENTS DE PATRIMONI";
110;"Prima d'emissió o assumpció";
111;"Altres instruments de patrimoni net";
1110;"Patrimoni net per emissió d'instruments financers compostos";
1111;"Resta d'instruments de patrimoni net";
112;"Fons de reserva obligatori";
1121;"Fons de reserva obligatori per aplicació d'excedents";
1122;"Fons de reserva obligatori per quotes d'ingrés";
1123;"Fons de reserva obligatori per deduccions";
113;"Reserves voluntàries";
1131;"Fons de reserva voluntari irrepartible";
1132;"Fons de reserva voluntari repartible";
114;"Reserves especials";
1140;"Reserves per a accions o participacions de la societat dominant";
1141;"Reserves estatutàries";
1142;"Reserva per capital amortitzat";
1143;"Reserva per fons de comerç";
1144;"Reserves per accions pròpies acceptades en garantia";
1145;"Fons de reemborsament o actualització";
11450;"Fons per incorporacion de beneficis";
11451;"Fons per revalorizacion d'actius";
115;"Reserves per pèrdues i guanys actuarials i altres ajustos";
118;"Aportacions de socis o propietaris";
1181;"Aportacions de socis per a compensar pèrdues";
119;"Diferències per ajust del capital a euros";
12;"RESULTATS PENDENTS D'APLICACIÓ";
120;"Romanent";"PREVIO"
121;"Resultats negatius d'exercicis anteriors";"PRENEG"
129;"Excedent cooperatiu";"PYG"
13;"SUBVENCIONS, DONACIONS I AJUSTOS PER CANVIS DE VALOR";
130;"Subvencions oficials de capital";
131;"Donacions i llegats de capital";
132;"Altres subvencions, donacions i llegats";
133;"Ajustaments per valoració en actius financers disponibles per a la venda";
134;"Operacions de cobertura";
1340;"Cobertura de fluxos d'efectiu";
1341;"Cobertura d'una inversió neta en un negoci a l'estranger";
135;"Diferències de conversió";"DIVPOS"
136;"Ajustaments per valoració en actius no corrents i grups alienables d'elements, mantinguts per a la venda";
137;"Ingressos fiscals a distribuir en diversos exercicis";
1370;"Ingressos fiscals per diferències permanents a distribuir en diversos exercicis";
1371;"Ingressos fiscals per deduccions i bonificacions a distribuir en diversos exercicis";
14;"PROVISIONS";
140;"Provisió per retribucions a llarg termini al personal";
141;"Provisió per a impostos";
142;"Provisió per a altres responsabilitats";
143;"Provisió per desmantellament, retir o rehabilitació de l'immobilitzat";
145;"Provisió per a actuacions mediambientals";
146;"Provisió per a reestructuracions";
147;"Provisió per transaccions amb pagaments basats en instruments de patrimoni";
148;"Fons d'educació, formació i promoció a llarg termini";
1481;"Fons d'educació, formació i promoció, saldo disposat a llarg termini";
1482;"Fons d'educació, formació i promoció, saldo no disposat a llarg termini";
15;"DEUTES A LLARG TERMINI AMB CARACTERÍSTIQUES ESPECIALS";
150;"Accions o participacions a llarg termini considerades passius financers";
1500;"Capital Social Cooperatiu a llarg termini considerat passiu financer aportacions obligatòries";
1501;"Capital Social Cooperatiu a llarg termini considerat passiu financer aportacions voluntàries";
1502;"Capital Social Cooperatiu a llarg termini considerat passiu financer: socis col·laboradors i associats o adherits";
15020;"Socis col·laboradors";
15021;"Associats o adherits";
153;"Desemborsaments no exigits per accions o participacions considerades com a passius financers";
1530;"Desemborsament no exigos per Capital social cooperatiu considerat com a passiu financer";
1533;"Desemborsaments no exigits, empreses del grup";
1534;"Desemborsaments no exigits, empreses associades";
1535;"Desemborsaments no exigits, altres parts vinculades";
1536;"Altres desemborsaments no exigits";
154;"Aportacions no dineràries pendents per accions o participacions considerades com a passius financers";
1543;"Aportacions no dineràries pendents, empreses del grup";
1544;"Aportacions no dineràries pendents, empreses associades";
1545;"Aportacions no dineràries pendents, altres parts vinculades";
1546;"Altres aportacions no dineràries pendents";
156;"Capital reemborsable exigible a llarg termini";
16;"DEUTES A LLARG TERMINI AMB PARTS VINCULADES";
160;"Deutes a llarg termini amb entitats de crèdit vinculades";
1603;"Deutes a llarg termini amb entitats de crèdit, empreses del grup";
1604;"Deutes a llarg termini amb entitats de crèdit, empreses associades";
1605;"Deutes a llarg termini amb altres entitats de crèdit vinculades";
161;"Proveïdors d'immobilitzat a llarg termini, parts vinculades";
1613;"Proveïdors d'immobilitzat a llarg termini, empreses del grup";
1614;"Proveïdors d'immobilitzat a llarg termini, empreses associades";
1615;"Proveïdors d'immobilitzat a llarg termini, altres parts vinculades";
162;"Creditors per arrendament financer a llarg termini, parts vinculades";
1623;"Creditors per arrendament financer a llarg termini, empreses de grup";
1624;"Creditors per arrendament financer a llarg termini, empreses associades";
1625;"Creditors per arrendament financer a llarg termini, altres parts vinculades";
163;"D'altres deutes a llarg termini amb parts vinculades";
1633;"D'altres deutes a llarg termini, empreses del grup";
1634;"D'altres deutes a llarg termini, empreses associades";
1635;"D'altres deutes a llarg termini, amb altres parts vinculades";
164;"Retorn cooperatiu a pagar a llarg termini";
167;"Altres participacions a llarg termini";
17;"DEUTES A LLARG TERMINI PER PRÉSTECS REBUTS, EMPRÈSTITS I ALTRES CONCEPTES";
170;"Deutes a llarg termini amb entitats de crèdit";
171;"Deutes a llarg termini";
1710;"Deutes a llarg termini per reemborsament d'aportacions als socis";
1711;"Creditors per reserva obligatòria a llarg termini";
1712;"Creditors per fons de reemborsament o actualització a llarg termini";
1713;"Creditors per fons de reserva voluntari a llarg termini";
1714;"Creditors per fons capitalitzats a llarg termini";
1715;"Retorn cooperatiu i renumeració discrecional a pagar a llarg termini";
172;"Deutes a llarg termini transformables en subvencions, donacions i llegats";
173;"Proveïdors d'immobilitzat a llarg termini";
174;"Creditors per arrendament financer a llarg termini";
175;"Efectes a pagar a llarg termini";
176;"Passius per derivats financers a llarg termini";
1765;"Passius per derivats financers a llarg termini, cartera de negociació";
1768;"Passius per derivats financers a llarg termini, instruments de cobertura";
177;"Obligacions i bons";
178;"Obligacions i bons convertibles";
179;"Deutes representats en altres valors negociables";
18;"PASSIUS PER FIANCES, GARANTIES I ALTRES CONCEPTES A LLARG TERMINI";
180;"Fiances rebudes a llarg termini";
181;"Bestretes rebudes per vendes o prestacions de serveis a llarg termini";
185;"Dipòsits rebuts a llarg termini";
189;"Garanties financeres a llarg termini";
19;"SITUACIONS TRANSITÒRIES DE FINANÇAMENT";
190;"Accions o participacions emeses";
192;"Subscriptors d'accions";
194;"Capital emès pendent d'inscripció";
195;"Accions o participacions emeses considerades passius financers";
197;"Subscriptors d'accions considerades com a passius financers";
199;"Accions o participacions emeses considerades passius financers pendents d'inscripció";
2;"ACTIU NO CORRENT";
20;"IMMOBILITZACIONS INTANGIBLES";
200;"Recerca";
201;"Desenvolupament";
202;"Concessions administratives";
203;"Propietat industrial";
204;"Fons de comerç";
205;"Drets de traspàs";
206;"Aplicacions informàtiques";
209;"Avançaments per a immobilitzacions intangibles";
